Crossing ID,Google Maps,County,City,Route,Street,Urban Rural,MPO,RPO,Primary RR,Trains Per Day,TPD Source,TPD Year,Train Speed,Total Tracks,Warning Device,Is Shortline RR,Is Amtrak Service,Road Class,Road Lanes,Road Speed,AADT,AADT Truck,AADT Year,Crashes 5yrs,Crashes PDO,Crashes Injury,Crashes Fatal,Blocked Reports,Lat WGS84,LonWGS84,ObjectId,x,y
524734A,"https://www.google.com/maps/@39.18919277,-84.48375492,200m/data=!3m1!1e3",HAMILTON,ELMWOOD PLACE,MR 3351,E 66TH ST,Urban,"Ohio-Kentucky-Indiana Regional Council of Governments (Cincinnati, Middletown)",None,NS - Norfolk Southern Railway Company,38,PUCO/FRA,2020,40,2,Lights and Gates,No,No,7 - Local,2,20,1522,46,2020,0,0,0,0,1,39.18919277,-84.48375492,1255,-9404688.57799812,4748808.15983689
151456D,"https://www.google.com/maps/@39.1126453,-82.58688749,200m/data=!3m1!1e3",JACKSON,COALTON,TR 190,HARDSCRAPPLE RD,Rural,None,Ohio Valley Regional Development Commission,OSCR - Ohio South Central Railroad,2,FRA,2017,25,1,Crossbucks,Yes,No,7 - Local,2,35,225,14,2021,0,0,0,0,0,39.1126453,-82.58688749,2583,-9193530.26158817,4737819.91366009
513537F,"https://www.google.com/maps/@39.14311378,-82.23446699,200m/data=!3m1!1e3",MEIGS,ALBANY,TR 13,STANEART RD,Rural,None,Buckeye Hills-Hocking Valley Regional Development District,KNWA - Kanawha River Railroad,4,PUCO/FRA,Unknown,30,1,Crossbucks,Yes,No,7 - Local,2,45,60,3,2020,0,0,0,0,0,39.14311378,-82.23446699,3124,-9154298.99098307,4742192.17529782
154021U,"https://www.google.com/maps/@39.39697604,-84.56504368,200m/data=!3m1!1e3",BUTLER,HAMILTON,CR 723,S FRONT ST,Urban,"Ohio-Kentucky-Indiana Regional Council of Governments (Cincinnati, Middletown)",None,CSX - CSX Transportation,4,FRA,2023,15,1,Lights and Gates,No,Yes,5 - Major Collector,4,35,7904,55,2021,0,0,0,0,1,39.39697604,-84.56504368,714,-9413737.60136854,4778695.56097807
524649K,"https://www.google.com/maps/@39.65070777,-84.28088224,200m/data=!3m1!1e3",MONTGOMERY,MIAMISBURG,MR 2798,RICHARD ST,Urban,Miami Valley Regional Planning Commission (Dayton),None,NS - Norfolk Southern Railway Company,18,PUCO/FRA,2020,50,2,Lights and Gates,No,No,7 - Local,2,25,950,28,2020,0,0,0,0,0,39.65070777,-84.28088224,3616,-9382104.89456465,4815313.15540691
527574Y,"https://www.google.com/maps/@39.62717668,-84.36771832,200m/data=!3m1!1e3",MONTGOMERY,GERMANTOWN,MR 1626,E WARREN ST,Urban,Miami Valley Regional Planning Commission (Dayton),None,GTR - Great River Railroad,3,PUCO/FRA,Unknown,30,1,Crossbucks,Yes,No,7 - Local,4,25,187,6,2020,0,0,0,0,0,39.62717668,-84.36771832,3911,-9391771.44277274,4811911.60025774
475981F,"https://www.google.com/maps/@41.45140101,-81.6234338,200m/data=!3m1!1e3",CUYAHOGA,CLEVELAND,MR 2864,E 91ST ST,Urban,"Northeast Ohio Areawide Coordinating Agency (Cleveland, Lorain-Elyria)",None,"CCRL - Cleveland & Cuyahoga Railway, Llc",1,PUCO/FRA,2017,10,1,Flashing Lights,Yes,No,7 - Local,2,25,3231,97,2020,0,0,0,0,0,41.45140101,-81.6234338,1796,-9086279.08741448,5079152.9466466
523793Y,"https://www.google.com/maps/@41.64663337,-81.40644375,200m/data=!3m1!1e3",LAKE,WILLOUGHBY,CR 510,ERIE ST,Urban,"Northeast Ohio Areawide Coordinating Agency (Cleveland, Lorain-Elyria)",None,CSX - CSX Transportation,32,PUCO/FRA,2022,70,4,Lights and Gates,No,Yes,4 - Minor Arterial,2,25,12211,157,2021,3,2,1,0,1,41.64663337,-81.40644375,2042,-9062123.86554127,5108192.93318175
523892W,"https://www.google.com/maps/@41.8544685,-80.84003871,200m/data=!3m1!1e3",ASHTABULA,SAYBROOK,CR 24,NORTH BEND RD,Rural,None,None,CSX - CSX Transportation,35,PUCO/FRA,2023,79,2,Lights and Gates,No,Yes,7 - Local,2,Unknown,1130,57,2021,0,0,0,0,2,41.8544685,-80.84003871,173,-8999071.94490572,5139204.39834789
262368A,"https://www.google.com/maps/@41.11375194,-80.71114641,200m/data=!3m1!1e3",MAHONING,YOUNGSTOWN,CR 117,N MERIDIAN RD,Urban,Eastgate Reginal Council of Governments (Youngstown),None,YARR - Youngstown & Austintown Railroad,6,PUCO,2017,15,1,Flashing Lights,Yes,No,4 - Minor Arterial,4,25,12213,1309,2021,0,0,0,0,0,41.11375194,-80.71114641,3370,-8984723.71970255,5029134.55511633
472420G,"https://www.google.com/maps/@41.19003704,-83.30422351,200m/data=!3m1!1e3",SENECA,FOSTORIA,TR 101,N TR 101,Rural,None,None,NS - Norfolk Southern Railway Company,23,FRA,2020,60,1,Lights and Gates,No,No,7 - Local,1,45,118,6,2021,0,0,0,0,0,41.19003704,-83.30422351,4255,-9273383.74206225,5040412.62230218
472388R,"https://www.google.com/maps/@41.26327921,-82.95589101,200m/data=!3m1!1e3",SANDUSKY,BELLEVUE,TR 260,YORKTOWN RD,Rural,None,None,NS - Norfolk Southern Railway Company,16,FRA,2020,60,1,Lights and Gates,No,No,7 - Local,1,Unknown,531,27,2021,0,0,0,0,0,41.26327921,-82.95589101,4993,-9234607.5455355,5051253.1912089
482692W,"https://www.google.com/maps/@41.37139832,-81.44966696,200m/data=!3m1!1e3",CUYAHOGA,SOLON,MR 12121,ARTHUR RD,Urban,"Northeast Ohio Areawide Coordinating Agency (Cleveland, Lorain-Elyria)",None,WE - Wheeling & Lake Erie Railway Company,2,FRA,2021,10,1,Crossbucks,Yes,No,7 - Local,2,25,182,5,2020,0,0,0,0,0,41.37139832,-81.44966696,1009,-9066935.45126892,5067278.14098778
262590W,"https://www.google.com/maps/@41.22882703,-80.97939492,200m/data=!3m1!1e3",TRUMBULL,NEWTON FALLS,SR 534,SR-534 S,Rural,Eastgate Reginal Council of Governments (Youngstown),None,YB - Youngstown Belt Railroad Company,0,PUCO,2018,10,1,Crossbucks,Yes,No,5 - Major Collector,2,55,3995,310,2021,0,0,0,0,0,41.22882703,-80.97939492,4796,-9014585.0072418,5046152.41365502
509255H,"https://www.google.com/maps/@41.50613627,-82.88958041,200m/data=!3m1!1e3",OTTAWA,GYPSUM,CR 34,S PLASTERBED RD,Rural,None,None,NS - Norfolk Southern Railway Company,43,PUCO/FRA,2022,79,2,Lights and Gates,No,Yes,5 - Major Collector,2,40,726,37,2021,0,0,0,0,0,41.50613627,-82.88958041,3665,-9227225.8833093,5087285.7443528
532591A,"https://www.google.com/maps/@40.8121785,-83.02712662,200m/data=!3m1!1e3",CRAWFORD,BUCYRUS,TR 119,SINN RD,Rural,None,None,"CFE - Chicago, Ft. Wayne & Eastern",10,PUCO/FRA,2017,40,1,Crossbucks,Yes,No,7 - Local,1,45,62,3,2020,0,0,0,0,0,40.8121785,-83.02712662,1501,-9242537.45736705,4984677.38350177
518450G,"https://www.google.com/maps/@40.82541568,-82.70611582,200m/data=!3m1!1e3",RICHLAND,CRESTLINE,TR 176,FINNEGAN RD,Rural,Richland County Regional Planning Commission (Mansfield),None,CSX - CSX Transportation,14,PUCO/FRA,2023,60,2,Lights and Gates,No,No,7 - Local,2,45,101,5,2020,0,0,0,0,1,40.82541568,-82.70611582,4698,-9206802.69857191,4986624.52122541
544871L,"https://www.google.com/maps/@40.91917399,-81.09283611,200m/data=!3m1!1e3",STARK,ALLIANCE,MR 190,E BROADWAY ST,Urban,Stark County Area Transportation Study (Canton),None,NS - Norfolk Southern Railway Company,5,FRA,2020,30,2,Lights and Gates,No,No,5 - Major Collector,4,25,1173,47,2021,1,1,0,0,0,40.91917399,-81.09283611,4452,-9027213.22274759,5000427.14568124
502872C,"https://www.google.com/maps/@40.89876028,-80.86208308,200m/data=!3m1!1e3",COLUMBIANA,SALEM,MR 685,W WILSON ST,Urban,None,Ohio Mid-Eastern Governments Association,NS - Norfolk Southern Railway Company,48,FRA,2020,60,2,Lights and Gates,No,Yes,7 - Local,2,Unknown,152,5,2021,0,0,0,0,0,40.89876028,-80.86208308,468,-9001525.91294898,4997420.27719483
001905D,"https://www.google.com/maps/@40.95983009,-83.31936272,200m/data=!3m1!1e3",WYANDOT,CAREY,TR 106,TH 106,Rural,None,None,WE - Wheeling & Lake Erie Railway Company,4,FRA,2018,40,1,Crossbucks,Yes,No,7 - Local,2,45,116,6,2021,0,0,0,0,0,40.95983009,-83.31936272,5337,-9275069.03121046,5006418.4155994
518484B,"https://www.google.com/maps/@41.04766773,-82.49306097,200m/data=!3m1!1e3",HURON,GREENWICH,TR 144,ALPHA RD,Rural,None,None,CSX - CSX Transportation,35,FRA,2023,70,2,Lights and Gates,No,No,7 - Local,2,55,131,3,2021,0,0,0,0,0,41.04766773,-82.49306097,2337,-9183085.54115887,5019375.18761896
523500T,"https://www.google.com/maps/@39.9253341,-83.82748686,200m/data=!3m1!1e3",CLARK,SPRINGFIELD,MR 959,S WESTERN AVE,Urban,Clark County-Springfield Transportation Coordinating Committee (Springfield),None,NS - Norfolk Southern Railway Company,16,FRA,2020,20,1,Lights and Gates,No,No,7 - Local,2,25,3630,109,2021,1,1,0,0,0,39.9253341,-83.82748686,960,-9331633.15173503,4855097.9593075
473033T,"https://www.google.com/maps/@40.19503491,-80.79066056,200m/data=!3m1!1e3",JEFFERSON,DILLONVALE,CR 7,DILLONVALE-LONGRUN RD,Rural,Brooke-Hancock-Jefferson Metropolitan Planning Commission (Steubenville-Weirton),None,WE - Wheeling & Lake Erie Railway Company,0,FRA,2021,20,1,Flashing Lights,Yes,No,6 - Minor Collector,2,40,276,20,2021,0,0,0,0,0,40.19503491,-80.79066056,2288,-8993575.19439141,4894324.82976284
527936H,"https://www.google.com/maps/@40.25230794,-83.76180655,200m/data=!3m1!1e3",LOGAN,WEST LIBERTY,SR 245,W BAIRD ST,Rural,None,Logan-Union-Champaign Regional Planning Commission,IORY - Indiana & Ohio Railway,0,PUCO/FRA,2017,10,2,Crossbucks,Yes,No,6 - Minor Collector,2,35,942,24,2021,0,0,0,0,0,40.25230794,-83.76180655,2829,-9324321.65307069,4902675.00730281
503737M,"https://www.google.com/maps/@40.51397268,-81.47266922,200m/data=!3m1!1e3",TUSCARAWAS,DOVER,MR 247,WASHINGTON ST,Urban,None,Ohio Mid-Eastern Governments Association,RJCL - R. J. Corman Cleveland Line,1,FRA,2019,10,1,Crossbucks,Yes,No,7 - Local,2,25,255,15,2020,0,0,0,0,0,40.51397268,-81.47266922,4157,-9069496.05113921,4940914.91676769
261649F,"https://www.google.com/maps/@40.72437817,-84.20426628,200m/data=!3m1!1e3",ALLEN,LIMA,TR 91,S WAPAK RD,Urban,Lima-Allen County Regional Planning Commission (Lima),None,RJCW - R. J. Corman Western Ohio Line,1,PUCO/FRA,2019,10,1,Lights and Gates,Yes,No,7 - Local,2,45,2531,81,2021,0,0,0,0,0,40.72437817,-84.20426628,370,-9373576.04491082,4971772.11660465
