Aáhi taria
Arroyo chub
Arroyo cichlid
Arsuz bleak
Arthurs galaxias
Arthurs paragalaxias
Artic skate
Artic threebeard rockling
Artic threebearded rockling
Aru gudgeon
Aru Island gudgeon
Aru rainbowfish
Aruana
Aruli barb
Arulius barb
Arwana
Asaedae flounder
Ascension triplefin
Ash Meadows Killifish
Ash meadows poolfish
Ash Meadows pupfish
Ash-colored conger eel
Ashen conger eel
Ashen conger-eel
Ashen drummer
Ashy Darter
Asia Minor khramulya
Asian arowana
Asian bonytongue
Asian bumblebee catfish
Asian butterflyfish
Asian carp
Asian cory
Asian freshwater goby
Asian hatchetfish
Asian needlefish
Asian pencil halfbeak
Asian pompano
Asian redtail catfish
Asian seabass
Asian sillago
Asian swamp eel
Asiatic brook lamprey
Asiatic knifefish
Asiatic snakehead
Asinua ricefish
Asoka barb
Asp
Asp-pike
Asper
Aspidoparia
Asprete
Assam mahseer
Assamese batasio
Assamese kingfish
Assamese snakehead
Assarius butterflyfish
Assfish
Assuan labeo
Assymetrical goatfish
Astrabad shad
Asymmetric goatfish
Atacama grenadier
Athena chromis
Atherine
Athi elephant-snout fish
Athi River tilapia
Athi sardine
Atipa
Atka mackerel
Atkinson's emperor
Atlantic agujón
Atlantic agujon needlefish
Atlantic alligatorfish
Atlantic anchoveta
Atlantic angel shark
Atlantic argentine
Atlantic barracudina
Atlantic batfish
Atlantic bearded brotula
Atlantic beardfish
Atlantic big-eye
Atlantic bigeye
Atlantic black skipjack
Atlantic blackfin tuna
Atlantic blackwing flyingfish
Atlantic blue marlin
Atlantic bluefin tuna
Atlantic bonito
Atlantic Bumper
Atlantic butterfish
Atlantic chimaera
Atlantic Chub Mackerel
Atlantic cod
Atlantic cornetfish
Atlantic creolefish
Atlantic Croaker
Atlantic Cutlassfish
Atlantic devil ray
Atlantic dragonfish
Atlantic electric ray
Atlantic emperor
Atlantic fanfish
Atlantic fangjaw
Atlantic flashlightfish
Atlantic flying-fish
Atlantic flyingfish
Atlantic footballfish
Atlantic ghost cat shark
Atlantic ghost catshark
Atlantic goldeneye tilefish
Atlantic goldeye tilefish
Atlantic goliath grouper
Atlantic greeneye
Atlantic grunt
Atlantic guitarfish
Atlantic gymnast
Atlantic hagfish
Atlantic hake
Atlantic halibut
Atlantic herring
Atlantic hookear
Atlantic hookear sculpin
Atlantic horse mackerel
Atlantic John dory
Atlantic knife-nose chimaera
Atlantic ladyfish
Atlantic lanternfish
Atlantic leg skate
Atlantic Legskate
Atlantic little tuna
Atlantic little tunny
Atlantic lizardfish
Atlantic lobefin dogfish
Atlantic longbill spearfish
Atlantic mackerel
Atlantic mako
Atlantic manta
Atlantic menhaden
Atlantic Midshipman
Atlantic molly
Atlantic Moonfish
Atlantic mud shark
